@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
9.49,7.55,5.79,BIG_DRUM
10.62,8.56,8.48,BIG_DRUM
10.63,8.46,8.12,BIG_DRUM
9.05,7.74,8.41,BIG_DRUM
10.87,7.44,7.35,BIG_DRUM
10.23,6.33,7.47,BIG_DRUM
9.36,7.06,7.21,BIG_DRUM
10.10,7.82,9.27,BIG_DRUM
9.94,7.67,7.34,BIG_DRUM
10.78,7.98,8.16,BIG_DRUM
10.71,7.52,7.15,BIG_DRUM
10.12,7.3,6.29,BIG_DRUM
9.40,7.44,6.46,BIG_DRUM
9.80,7.13,6.35,BIG_DRUM
10.27,7.65,7.08,BIG_DRUM
10.51,6.92,6.69,BIG_DRUM
10.65,7.54,6.72,BIG_DRUM
8.05,7.47,6.41,BIG_DRUM
9.94,8.1,7.34,BIG_DRUM
9.60,7.68,7.24,BIG_DRUM
10.44,7.98,6.96,BIG_DRUM
8.66,6.93,5.43,BIG_DRUM
9.66,7.05,6.43,BIG_DRUM
11.68,7.38,6.53,BIG_DRUM
8.68,7.01,5.97,BIG_DRUM
8.07,6.98,6.18,BIG_DRUM
9.59,7.15,5.94,BIG_DRUM
9.11,6.63,5.33,BIG_DRUM
9.90,6.66,5.56,BIG_DRUM
10.79,7.22,6.34,BIG_DRUM
9.40,7.1,6.21,BIG_DRUM
9.45,6.99,5.79,BIG_DRUM
10.91,8.01,7.65,BIG_DRUM
9.51,7,6.94,BIG_DRUM
9.58,7.64,6.45,BIG_DRUM
9.31,7.43,7.24,BIG_DRUM
10.69,7.6,7.03,BIG_DRUM
11.16,8.01,7.47,BIG_DRUM
10.62,6.88,6.83,BIG_DRUM
9.40,6.88,6.78,BIG_DRUM
9.00,7.19,6.91,BIG_DRUM
10.73,7.4,7.30,BIG_DRUM
9.02,7.22,7.03,BIG_DRUM
9.79,7.05,6.70,BIG_DRUM
9.88,6.85,6.50,BIG_DRUM
9.87,7.73,7.45,BIG_DRUM
9.63,7.63,7.37,BIG_DRUM
10.14,8.51,7.55,BIG_DRUM
11.00,8.03,7.29,BIG_DRUM
9.19,7.92,6.98,BIG_DRUM
10.26,7.93,7.59,BIG_DRUM
10.13,8.26,7.30,BIG_DRUM
9.71,7.83,6.96,BIG_DRUM
11.24,8.04,7.34,BIG_DRUM
10.63,8.78,8.10,BIG_DRUM
9.44,8.48,7.46,BIG_DRUM
8.98,8.18,7.31,BIG_DRUM
9.27,8.68,8.64,BIG_DRUM
11.41,7.59,7.24,BIG_DRUM
10.01,8,6.79,BIG_DRUM
9.87,7.05,6.80,BIG_DRUM
10.12,7.4,7.22,BIG_DRUM
11.12,8.74,7.49,BIG_DRUM
10.32,7.77,6.62,BIG_DRUM
9.80,8.77,7.39,BIG_DRUM
10.12,7.88,6.85,BIG_DRUM
9.58,8.18,7.74,BIG_DRUM
7.14,7.09,6.37,BIG_DRUM
9.56,7.79,7.16,BIG_DRUM
9.61,8.5,7.53,BIG_DRUM
9.77,7.86,7.61,BIG_DRUM
10.22,8.26,7.15,BIG_DRUM
9.37,7.88,6.69,BIG_DRUM
11.28,7.43,6.65,BIG_DRUM
10.22,7.49,7.39,BIG_DRUM
9.51,7.62,7.13,BIG_DRUM
8.35,6.71,6.09,BIG_DRUM
7.90,5.87,4.32,BIG_DRUM
9.23,6.81,4.44,BIG_DRUM
11.60,7.3,5.10,BIG_DRUM
10.16,7.95,5.24,BIG_DRUM
9.54,7.86,6.41,BIG_DRUM
10.16,7.97,7.55,BIG_DRUM
10.05,6.58,5.50,BIG_DRUM
